tahun ,bulan,wilayah,jenis_penyakit,jumlah
2018,03,Wilayah Jakarta Pusat,TB,129
2018,03,Wilayah Jakarta Pusat,DBD,8
2018,03,Wilayah Jakarta Pusat,Difteri,6
2018,03,Wilayah Jakarta Pusat,HIV ,2240
2018,03,Wilayah Jakarta Pusat,AIDS,279
2018,03,Wilayah Jakarta Utara,TB,514
2018,03,Wilayah Jakarta Utara,DBD,7
2018,03,Wilayah Jakarta Utara,Difteri,10
2018,03,Wilayah Jakarta Utara,HIV ,901
2018,03,Wilayah Jakarta Utara,AIDS,109
2018,03,Wilayah Jakarta Timur,TB,819
2018,03,Wilayah Jakarta Timur,DBD,9
2018,03,Wilayah Jakarta Timur,Difteri,11
2018,03,Wilayah Jakarta Timur,HIV ,1042
2018,03,Wilayah Jakarta Timur,AIDS,26
2018,03,Wilayah Jakarta Selatan,TB,624
2018,03,Wilayah Jakarta Selatan,DBD,12
2018,03,Wilayah Jakarta Selatan,Difteri,6
2018,03,Wilayah Jakarta Selatan,HIV ,797
2018,03,Wilayah Jakarta Selatan,AIDS,56
2018,03,Wilayah Jakarta Barat,TB,1263
2018,03,Wilayah Jakarta Barat,DBD,25
2018,03,Wilayah Jakarta Barat,Difteri,10
2018,03,Wilayah Jakarta Barat,HIV ,1582
2018,03,Wilayah Jakarta Barat,AIDS,106
2018,03,Wilayah Kep. Seribu,TB,1
2018,03,Wilayah Kep. Seribu,DBD,15
2018,03,Wilayah Kep. Seribu,Difteri, -   
2018,03,Wilayah Kep. Seribu,HIV ,5
2018,03,Wilayah Kep. Seribu,AIDS, -   
